twinType,twinId,executionId,timestamp,xPos
PT,XXXCarPT,1627484055,16274847350,5.0015
PT,XXXCarPT,1627484055,16274847360,5.4052
PT,XXXCarPT,1627484055,16274847370,5.8085
PT,XXXCarPT,1627484055,16274847380,6.2166
PT,XXXCarPT,1627484055,16274847390,6.6154
PT,XXXCarPT,1627484055,16274847400,7.0147
PT,XXXCarPT,1627484055,16274847410,7.4213
PT,XXXCarPT,1627484055,16274847420,7.8192
PT,XXXCarPT,1627484055,16274847430,8.2306
PT,XXXCarPT,1627484055,16274847440,8.6321
PT,XXXCarPT,1627484055,16274847450,9.0305
PT,XXXCarPT,1627484055,16274847460,9.4337
PT,XXXCarPT,1627484055,16274847470,9.8365
PT,XXXCarPT,1627484055,16274847480,10.242
PT,XXXCarPT,1627484055,16274847490,10.6411
PT,XXXCarPT,1627484055,16274847500,11.0447
PT,XXXCarPT,1627484055,16274847510,11.4506
PT,XXXCarPT,1627484055,16274847520,11.8567
PT,XXXCarPT,1627484055,16274847530,12.2523
PT,XXXCarPT,1627484055,16274847540,12.6563
PT,XXXCarPT,1627484055,16274847550,13.0664
PT,XXXCarPT,1627484055,16274847560,13.4621
PT,XXXCarPT,1627484055,16274847570,13.8697
PT,XXXCarPT,1627484055,16274847580,14.2685
PT,XXXCarPT,1627484055,16274847590,14.6736
PT,XXXCarPT,1627484055,16274847600,15.0734
PT,XXXCarPT,1627484055,16274847610,15.234
PT,XXXCarPT,1627484055,16274847620,15.3871
PT,XXXCarPT,1627484055,16274847630,15.5386
PT,XXXCarPT,1627484055,16274847640,15.6925
PT,XXXCarPT,1627484055,16274847650,15.8423
PT,XXXCarPT,1627484055,16274847660,15.9923
PT,XXXCarPT,1627484055,16274847670,16.1501
PT,XXXCarPT,1627484055,16274847680,16.2997
PT,XXXCarPT,1627484055,16274847690,16.4582
PT,XXXCarPT,1627484055,16274847700,16.6124
PT,XXXCarPT,1627484055,16274847710,16.7639
PT,XXXCarPT,1627484055,16274847720,16.9106
PT,XXXCarPT,1627484055,16274847730,17.0679
PT,XXXCarPT,1627484055,16274847740,17.2195
PT,XXXCarPT,1627484055,16274847750,17.3682
PT,XXXCarPT,1627484055,16274847760,17.5242
PT,XXXCarPT,1627484055,16274847770,17.6834
PT,XXXCarPT,1627484055,16274847780,17.8328
PT,XXXCarPT,1627484055,16274847790,17.9844
PT,XXXCarPT,1627484055,16274847800,18.1385
PT,XXXCarPT,1627484055,16274847810,18.2944
PT,XXXCarPT,1627484055,16274847820,18.4443
PT,XXXCarPT,1627484055,16274847830,18.5968
PT,XXXCarPT,1627484055,16274847840,18.7459
PT,XXXCarPT,1627484055,16274847850,18.896
PT,XXXCarPT,1627484055,16274847860,18.896
PT,XXXCarPT,1627484055,16274847870,18.896
PT,XXXCarPT,1627484055,16274847880,18.896
PT,XXXCarPT,1627484055,16274847890,18.8987
PT,XXXCarPT,1627484055,16274847900,18.8974
PT,XXXCarPT,1627484055,16274847910,18.8995
PT,XXXCarPT,1627484055,16274847920,18.9025
PT,XXXCarPT,1627484055,16274847930,18.8981
PT,XXXCarPT,1627484055,16274847940,18.8991
PT,XXXCarPT,1627484055,16274847950,18.8958
PT,XXXCarPT,1627484055,16274847960,18.9016
PT,XXXCarPT,1627484055,16274847970,18.8998
PT,XXXCarPT,1627484055,16274847980,18.9017
PT,XXXCarPT,1627484055,16274847990,18.9028
PT,XXXCarPT,1627484055,16274848000,18.8967
PT,XXXCarPT,1627484055,16274848010,18.8995
PT,XXXCarPT,1627484055,16274848020,18.8955
PT,XXXCarPT,1627484055,16274848030,18.8978
PT,XXXCarPT,1627484055,16274848040,18.9047
PT,XXXCarPT,1627484055,16274848050,18.9042
PT,XXXCarPT,1627484055,16274848060,18.9011
PT,XXXCarPT,1627484055,16274848070,18.9043
PT,XXXCarPT,1627484055,16274848080,18.9033
PT,XXXCarPT,1627484055,16274848090,18.8964
PT,XXXCarPT,1627484055,16274848100,18.9034
PT,XXXCarPT,1627484055,16274848110,18.8961
PT,XXXCarPT,1627484055,16274848120,18.9008
PT,XXXCarPT,1627484055,16274848130,18.9034
PT,XXXCarPT,1627484055,16274848140,18.9041
PT,XXXCarPT,1627484055,16274848150,18.8979
PT,XXXCarPT,1627484055,16274848160,18.8958
PT,XXXCarPT,1627484055,16274848170,18.902
PT,XXXCarPT,1627484055,16274848180,18.9005
PT,XXXCarPT,1627484055,16274848190,18.8953
PT,XXXCarPT,1627484055,16274848200,18.9021
PT,XXXCarPT,1627484055,16274848210,18.898
PT,XXXCarPT,1627484055,16274848220,18.8963
PT,XXXCarPT,1627484055,16274848230,18.9016
PT,XXXCarPT,1627484055,16274848240,18.9005
PT,XXXCarPT,1627484055,16274848250,18.9012
PT,XXXCarPT,1627484055,16274848260,18.8978
PT,XXXCarPT,1627484055,16274848270,18.8953
PT,XXXCarPT,1627484055,16274848280,18.9008
PT,XXXCarPT,1627484055,16274848290,18.8963
PT,XXXCarPT,1627484055,16274848300,18.903
PT,XXXCarPT,1627484055,16274848310,18.9049
PT,XXXCarPT,1627484055,16274848320,18.9048
PT,XXXCarPT,1627484055,16274848330,18.8983
PT,XXXCarPT,1627484055,16274848340,18.8952
PT,XXXCarPT,1627484055,16274848350,18.896
PT,XXXCarPT,1627484055,16274848360,18.9016
PT,XXXCarPT,1627484055,16274848370,18.9027
PT,XXXCarPT,1627484055,16274848380,18.8999
PT,XXXCarPT,1627484055,16274848390,18.8999
PT,XXXCarPT,1627484055,16274848400,18.8999
PT,XXXCarPT,1627484055,16274848410,18.9985
PT,XXXCarPT,1627484055,16274848420,18.5948
PT,XXXCarPT,1627484055,16274848430,18.1915
PT,XXXCarPT,1627484055,16274848440,17.7834
PT,XXXCarPT,1627484055,16274848450,17.3846
PT,XXXCarPT,1627484055,16274848460,16.9853
PT,XXXCarPT,1627484055,16274848470,16.5787
PT,XXXCarPT,1627484055,16274848480,16.1808
PT,XXXCarPT,1627484055,16274848490,15.7694
PT,XXXCarPT,1627484055,16274848500,15.3679
PT,XXXCarPT,1627484055,16274848510,14.9695
PT,XXXCarPT,1627484055,16274848520,14.5663
PT,XXXCarPT,1627484055,16274848530,14.1635
PT,XXXCarPT,1627484055,16274848540,13.758
PT,XXXCarPT,1627484055,16274848550,13.3589
PT,XXXCarPT,1627484055,16274848560,12.9553
PT,XXXCarPT,1627484055,16274848570,12.5494
PT,XXXCarPT,1627484055,16274848580,12.1433
PT,XXXCarPT,1627484055,16274848590,11.7477
PT,XXXCarPT,1627484055,16274848600,11.3437
PT,XXXCarPT,1627484055,16274848610,10.9336
PT,XXXCarPT,1627484055,16274848620,10.5379
PT,XXXCarPT,1627484055,16274848630,10.1303
PT,XXXCarPT,1627484055,16274848640,9.7315
PT,XXXCarPT,1627484055,16274848650,9.3264
PT,XXXCarPT,1627484055,16274848660,8.9266
PT,XXXCarPT,1627484055,16274848670,8.766
PT,XXXCarPT,1627484055,16274848680,8.6129
PT,XXXCarPT,1627484055,16274848690,8.4614
PT,XXXCarPT,1627484055,16274848700,8.3075
PT,XXXCarPT,1627484055,16274848710,8.1577
PT,XXXCarPT,1627484055,16274848720,8.0077
PT,XXXCarPT,1627484055,16274848730,7.8499
PT,XXXCarPT,1627484055,16274848740,7.7003
PT,XXXCarPT,1627484055,16274848750,7.5418
PT,XXXCarPT,1627484055,16274848760,7.3876
PT,XXXCarPT,1627484055,16274848770,7.2361
PT,XXXCarPT,1627484055,16274848780,7.0894
PT,XXXCarPT,1627484055,16274848790,6.9321
PT,XXXCarPT,1627484055,16274848800,6.7805
PT,XXXCarPT,1627484055,16274848810,6.6318
PT,XXXCarPT,1627484055,16274848820,6.4758
PT,XXXCarPT,1627484055,16274848830,6.3166
PT,XXXCarPT,1627484055,16274848840,6.1672
PT,XXXCarPT,1627484055,16274848850,6.0156
